phi,uv,ca
0.2,0,114.13
0.2,3,93.35166667
0.2,6,90.5625
0.2,9,85.28125
0.2,12,65.895
0.2,15,62.94
0.2,18,62.95875
0.2,21,62.90458333
0.2,24,62.05
0.2,27,60.31125
0.2,30,58.24625
0.2,33,47.91875
0.2,36,42.2025
0.2,39,33.035
0.2,42,31.40125
0.2,45,22.295
0.2,48,19.5575
0.2,51,14.10625
0.2,54,0
0.35,0,132.4066602
0.35,2,124.5728402
0.35,4,101.7500861
0.35,6,81.94926093
0.35,8,74.26327941
0.35,10,62.7451592
0.35,12,51.29647392
0.35,14,51.10002094
0.35,16,40.64930083
0.35,18,41.07005939
0.35,20,21.21062597
0.35,22,14.30208945
0.35,24,0
0.42,0,148.6366667
0.42,1,146.6483333
0.42,2,149.0483333
0.42,3,144.61
0.42,4,94.8
0.42,5,75.965
0.42,6,63.5625
0.42,7,50.5625
0.42,8,41.05666667
0.42,9,24.76333333
0.42,10,17.5625
0.42,11,13.66333333
0.42,12,0
0.5,0,151.0264904
0.5,1,140.4354435
0.5,2,109.3975777
0.5,3,92.05469436
0.5,4,86.91538365
0.5,5,78.12689294
0.5,6,56.08339998
0.5,7,45.90032981
0.5,8,32.08315342
0.5,9,23.6329671
0.5,10,20.32025934
0.5,11,14.97177482
0.5,12,12.88660655
0.5,13,0
0.6,0,172.8604943
0.6,1,166.4593226
0.6,2,157.1291017
0.6,3,124.3076272
0.6,4,49.03043806
0.6,5,0
0.68,0,163.0725
0.68,1,159.7216667
0.68,2,155.1870833
0.68,3,119.655
0.68,4,85.45125
0.68,5,56.43083333
0.68,6,26.06
0.68,7,20.10625
0.68,8,9.74375
0.68,9,0
0.75,0,161.0925
0.75,0.5,125.5183333
0.75,1,57.56125
0.75,1.5,14.99208333
0.75,2,0
0.8,0,159.9342994
0.8,0.5,90.40517426
0.8,1,77.17497321
0.8,1.5,56.5708829
0.8,2,0
